电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
肖申克的救赎/TheShawshankRedemption/月黑高飞(港)/刺激1995(台),https://movie.douban.com/subject/1292052/,9.7,3059607,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪剧情,希望让人自由。
霸王别姬/再见，我的妾/FarewellMyConcubine,https://movie.douban.com/subject/1291546/,9.6,2259706,导演: 陈凯歌 Kaige Chen,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆中国香港,剧情爱情同性,风华绝代。
阿甘正传/ForrestGump/福雷斯特·冈普,https://movie.douban.com/subject/1292720/,9.5,2278798,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情爱情,一部美国近现代史。
泰坦尼克号/Titanic/铁达尼号(港/台),https://movie.douban.com/subject/1292722/,9.5,2318666,导演: 詹姆斯·卡梅隆 James Cameron,主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国墨西哥,剧情爱情灾难,失去的才是永恒的。
千与千寻/千と千尋の神隠し/神隐少女(台)/千与千寻的神隐,https://movie.douban.com/subject/1291561/,9.4,2367537,导演: 宫崎骏 Hayao Miyazaki,主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情动画奇幻,最好的宫崎骏，最好的久石让。
这个杀手不太冷/Léon/终极追杀令(台)/杀手莱昂,https://movie.douban.com/subject/1295644/,9.4,2401190,导演: 吕克·贝松 Luc Besson,主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国美国,剧情动作犯罪,怪蜀黍和小萝莉不得不说的故事。
美丽人生/Lavitaèbella/一个快乐的传说(港)/LifeIsBeautiful,https://movie.douban.com/subject/1292063/,9.5,1393423,导演: 罗伯托·贝尼尼 Roberto Benigni,主演: 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情喜剧爱情战争,最美的谎言。
星际穿越/Interstellar/星际启示录(港)/星际效应(台),https://movie.douban.com/subject/1889243/,9.4,1988445,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 马修·麦康纳 Matthew Mc...,2014,美国英国加拿大,剧情科幻冒险,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间/Inception/潜行凶间(港)/全面启动(台),https://movie.douban.com/subject/3541415/,9.4,2180550,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 莱昂纳多·迪卡普里奥 Le...,2010,美国英国,剧情科幻悬疑冒险,诺兰给了我们一场无法盗取的梦。
楚门的世界/TheTrumanShow/真人Show(港)/真人戏,https://movie.douban.com/subject/1292064/,9.4,1844518,导演: 彼得·威尔 Peter Weir,主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情科幻,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单/Schindler'sList/舒特拉的名单(港)/辛德勒名单,https://movie.douban.com/subject/1295124/,9.5,1178441,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 连姆·尼森 Liam Neeson...,1993,美国,剧情历史战争,拯救一个人，就是拯救整个世界。
